ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
1386,1967,Bachelor,Living Together,32474.0,1,1,05/11/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS
5371,1989,Bachelor,Single,21474.0,1,0,04/08/2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP
4047,1954,PhD,Married,65324.0,0,1,01/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US
9477,1954,PhD,Married,65324.0,0,1,01/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND
5642,1979,Master,Living Together,62499.0,1,0,12/09/2013,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP
10530,1959,PhD,Widow,67786.0,0,0,12/07/2013,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND
10311,1969,Bachelor,Married,4428.0,0,1,10/05/2013,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP
837,1977,Bachelor,Married,54809.0,1,1,09/11/2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP
10521,1977,Bachelor,Married,54809.0,1,1,09/11/2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP
10175,1958,PhD,Divorced,32173.0,0,1,08/01/2013,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP
2795,1958,Master,Single,30523.0,2,1,07/01/2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA
4065,1976,PhD,Married,49544.0,1,0,02/12/2013,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP
5824,1972,PhD,Living Together,34578.0,2,1,04/11/2014,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS
7962,1987,PhD,Single,95169.0,0,0,10/09/2013,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP
2681,1984,Master,Married,65370.0,0,0,08/01/2013,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP
10141,1960,Master,Divorced,39228.0,0,0,05/10/2013,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA
3725,1961,PhD,Single,84865.0,0,0,05/09/2013,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP
